"DEPARTURES_SCHEDULED","PASSENGERS","CARRIER","CARRIER_NAME","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","YEAR","MONTH",
0.00,172.00,"WG","Sunwing Airlines Inc.","MCO","Orlando, FL","FLL","Fort Lauderdale, FL","614",2017,12,
0.00,150.00,"WG","Sunwing Airlines Inc.","MCO","Orlando, FL","PIE","St. Petersburg, FL","614",2017,12,
0.00,93.00,"WG","Sunwing Airlines Inc.","PIE","St. Petersburg, FL","MCO","Orlando, FL","614",2017,12,
0.00,2.00,"0CQ","ACM AIR CHARTER GmbH","EWR","Newark, NJ","OPF","Miami, FL","614",2017,12,
0.00,2.00,"0CQ","ACM AIR CHARTER GmbH","HNL","Honolulu, HI","LAX","Los Angeles, CA","682",2017,12,
0.00,4.00,"0CQ","ACM AIR CHARTER GmbH","IAD","Washington, DC","EWR","Newark, NJ","614",2017,12,
0.00,9.00,"0CQ","ACM AIR CHARTER GmbH","IAD","Washington, DC","LAX","Los Angeles, CA","614",2017,12,
0.00,2.00,"0CQ","ACM AIR CHARTER GmbH","IAD","Washington, DC","PSM","Portsmouth, NH","614",2017,12,
0.00,2.00,"0CQ","ACM AIR CHARTER GmbH","LAX","Los Angeles, CA","BWI","Baltimore, MD","682",2017,12,
0.00,12.00,"0CQ","ACM AIR CHARTER GmbH","LAX","Los Angeles, CA","PSM","Portsmouth, NH","614",2017,12,
0.00,1.00,"0CQ","ACM AIR CHARTER GmbH","OPF","Miami, FL","IAD","Washington, DC","614",2017,12,
0.00,7.00,"1SQ","Star Marianas Air Inc.","GUM","Guam, TT","ROP","Rota, TT","194",2017,12,
0.00,0.00,"1SQ","Star Marianas Air Inc.","GUM","Guam, TT","ROP","Rota, TT","079",2017,12,
0.00,13.00,"1SQ","Star Marianas Air Inc.","GUM","Guam, TT","SPN","Saipan, TT","194",2017,12,
0.00,0.00,"1SQ","Star Marianas Air Inc.","GUM","Guam, TT","SPN","Saipan, TT","079",2017,12,
0.00,0.00,"1SQ","Star Marianas Air Inc.","GUM","Guam, TT","TIQ","Tinian, TT","079",2017,12,
0.00,4.00,"1SQ","Star Marianas Air Inc.","ROP","Rota, TT","GUM","Guam, TT","194",2017,12,
0.00,2.00,"1SQ","Star Marianas Air Inc.","ROP","Rota, TT","GUM","Guam, TT","079",2017,12,
0.00,140.00,"1SQ","Star Marianas Air Inc.","ROP","Rota, TT","SPN","Saipan, TT","194",2017,12,
0.00,5.00,"1SQ","Star Marianas Air Inc.","ROP","Rota, TT","SPN","Saipan, TT","079",2017,12,
0.00,0.00,"1SQ","Star Marianas Air Inc.","ROP","Rota, TT","TIQ","Tinian, TT","194",2017,12,
0.00,0.00,"1SQ","Star Marianas Air Inc.","ROP","Rota, TT","TIQ","Tinian, TT","079",2017,12,
0.00,14.00,"1SQ","Star Marianas Air Inc.","SPN","Saipan, TT","GUM","Guam, TT","194",2017,12,
0.00,132.00,"1SQ","Star Marianas Air Inc.","SPN","Saipan, TT","ROP","Rota, TT","194",2017,12,
0.00,1.00,"1SQ","Star Marianas Air Inc.","SPN","Saipan, TT","ROP","Rota, TT","079",2017,12,
0.00,29.00,"1SQ","Star Marianas Air Inc.","SPN","Saipan, TT","TIQ","Tinian, TT","079",2017,12,
0.00,0.00,"1SQ","Star Marianas Air Inc.","SPN","Saipan, TT","TIQ","Tinian, TT","079",2017,12,
0.00,1.00,"1SQ","Star Marianas Air Inc.","TIQ","Tinian, TT","ROP","Rota, TT","194",2017,12,
0.00,31.00,"1SQ","Star Marianas Air Inc.","TIQ","Tinian, TT","SPN","Saipan, TT","079",2017,12,
0.00,8.00,"1SQ","Star Marianas Air Inc.","TIQ","Tinian, TT","SPN","Saipan, TT","194",2017,12,
0.00,0.00,"1SQ","Star Marianas Air Inc.","TIQ","Tinian, TT","SPN","Saipan, TT","079",2017,12,
0.00,40.00,"9E","Endeavor Air Inc.","AEX","Alexandria, LA","ATL","Atlanta, GA","638",2017,12,
0.00,43.00,"9E","Endeavor Air Inc.","AEX","Alexandria, LA","CSG","Columbus, GA","629",2017,12,
0.00,70.00,"9E","Endeavor Air Inc.","ALB","Albany, NY","LGA","New York, NY","638",2017,12,
0.00,58.00,"9E","Endeavor Air Inc.","ATL","Atlanta, GA","AEX","Alexandria, LA","638",2017,12,
0.00,28.00,"9E","Endeavor Air Inc.","ATL","Atlanta, GA","BQK","Brunswick, GA","638",2017,12,
0.00,19.00,"9E","Endeavor Air Inc.","ATL","Atlanta, GA","CSG","Columbus, GA","638",2017,12,
0.00,33.00,"9E","Endeavor Air Inc.","ATL","Atlanta, GA","EWN","New Bern/Morehead/Beaufort, NC","638",2017,12,
0.00,48.00,"9E","Endeavor Air Inc.","ATL","Atlanta, GA","MLU","Monroe, LA","629",2017,12,
0.00,61.00,"9E","Endeavor Air Inc.","ATL","Atlanta, GA","MSP","Minneapolis, MN","638",2017,12,
0.00,44.00,"9E","Endeavor Air Inc.","ATL","Atlanta, GA","MSY","New Orleans, LA","629",2017,12,
0.00,42.00,"9E","Endeavor Air Inc.","ATL","Atlanta, GA","RDU","Raleigh/Durham, NC","629",2017,12,
0.00,46.00,"9E","Endeavor Air Inc.","ATL","Atlanta, GA","TRI","Bristol/Johnson City/Kingsport, TN","638",2017,12,
0.00,38.00,"9E","Endeavor Air Inc.","ATL","Atlanta, GA","VLD","Valdosta, GA","638",2017,12,
0.00,59.00,"9E","Endeavor Air Inc.","BDL","Hartford, CT","LGA","New York, NY","638",2017,12,
0.00,84.00,"9E","Endeavor Air Inc.","BGR","Bangor, ME","LGA","New York, NY","638",2017,12,
0.00,128.00,"9E","Endeavor Air Inc.","BNA","Nashville, TN","DFW","Dallas/Fort Worth, TX","638",2017,12,
